"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"805",2010,"Quintile 2","Men","35 and over",195,130
"807",2010,"Quintile 2","Women","17 and under",95,40
"809",2010,"Quintile 2","Women","18",1650,1130
"811",2010,"Quintile 2","Women","19",555,340
"813",2010,"Quintile 2","Women","20",360,220
"815",2010,"Quintile 2","Women","21-24",815,475
"817",2010,"Quintile 2","Women","25-29",480,265
"819",2010,"Quintile 2","Women","30-34",280,155
"821",2010,"Quintile 2","Women","35 and over",430,285
"823",2010,"Quintile 3","Men","17 and under",90,50
"825",2010,"Quintile 3","Men","18",1610,1230
"827",2010,"Quintile 3","Men","19",475,345
"829",2010,"Quintile 3","Men","20",275,200
"831",2010,"Quintile 3","Men","21-24",575,410
"833",2010,"Quintile 3","Men","25-29",345,215
"835",2010,"Quintile 3","Men","30-34",130,85
"837",2010,"Quintile 3","Men","35 and over",195,130
"839",2010,"Quintile 3","Women","17 and under",175,105
"841",2010,"Quintile 3","Women","18",2255,1685
"843",2010,"Quintile 3","Women","19",700,470
"845",2010,"Quintile 3","Women","20",400,275
"847",2010,"Quintile 3","Women","21-24",825,520
"849",2010,"Quintile 3","Women","25-29",430,245
"851",2010,"Quintile 3","Women","30-34",245,155
"853",2010,"Quintile 3","Women","35 and over",420,285
"855",2010,"Quintile 4","Men","17 and under",110,65
"857",2010,"Quintile 4","Men","18",2115,1650
"859",2010,"Quintile 4","Men","19",675,480
"861",2010,"Quintile 4","Men","20",360,260
"863",2010,"Quintile 4","Men","21-24",545,350
"865",2010,"Quintile 4","Men","25-29",240,155
"867",2010,"Quintile 4","Men","30-34",110,80
"869",2010,"Quintile 4","Men","35 and over",135,95
"871",2010,"Quintile 4","Women","17 and under",165,105
"873",2010,"Quintile 4","Women","18",2920,2275
"875",2010,"Quintile 4","Women","19",820,585
"877",2010,"Quintile 4","Women","20",450,300
"879",2010,"Quintile 4","Women","21-24",745,445
"881",2010,"Quintile 4","Women","25-29",385,220
"883",2010,"Quintile 4","Women","30-34",195,120
"885",2010,"Quintile 4","Women","35 and over",390,250
"887",2010,"Quintile 5","Men","17 and under",135,70
"889",2010,"Quintile 5","Men","18",3155,2565
"891",2010,"Quintile 5","Men","19",830,620
"893",2010,"Quintile 5","Men","20",410,280
"895",2010,"Quintile 5","Men","21-24",725,485
"897",2010,"Quintile 5","Men","25-29",305,205
"899",2010,"Quintile 5","Men","30-34",95,60
"901",2010,"Quintile 5","Men","35 and over",130,90
"903",2010,"Quintile 5","Women","17 and under",195,120
"905",2010,"Quintile 5","Women","18",3570,2815
"907",2010,"Quintile 5","Women","19",870,620
"909",2010,"Quintile 5","Women","20",505,350
"911",2010,"Quintile 5","Women","21-24",765,460
"913",2010,"Quintile 5","Women","25-29",295,175
"915",2010,"Quintile 5","Women","30-34",145,90
"917",2010,"Quintile 5","Women","35 and over",370,250
"919",2010,"Unknown","Men","17 and under",5,5
"921",2010,"Unknown","Men","18",30,20
"923",2010,"Unknown","Men","19",15,15
"925",2010,"Unknown","Men","20",10,10
"927",2010,"Unknown","Men","21-24",40,25
"929",2010,"Unknown","Men","25-29",20,10
"931",2010,"Unknown","Men","30-34",15,15
"933",2010,"Unknown","Men","35 and over",10,10
"935",2010,"Unknown","Women","17 and under",5,5
"937",2010,"Unknown","Women","18",35,25
"939",2010,"Unknown","Women","19",25,20
"941",2010,"Unknown","Women","20",15,10
"943",2010,"Unknown","Women","21-24",35,20
"945",2010,"Unknown","Women","25-29",35,25
"947",2010,"Unknown","Women","30-34",5,5
"949",2010,"Unknown","Women","35 and over",15,10
"951",2011,"Quintile 1","Men","17 and under",40,15
"953",2011,"Quintile 1","Men","18",675,435
"955",2011,"Quintile 1","Men","19",210,145
"957",2011,"Quintile 1","Men","20",200,125
"959",2011,"Quintile 1","Men","21-24",555,355
"961",2011,"Quintile 1","Men","25-29",320,200
"963",2011,"Quintile 1","Men","30-34",195,120
"965",2011,"Quintile 1","Men","35 and over",205,140
"967",2011,"Quintile 1","Women","17 and under",40,20
"969",2011,"Quintile 1","Women","18",1045,650
"971",2011,"Quintile 1","Women","19",400,235
"973",2011,"Quintile 1","Women","20",395,235
"975",2011,"Quintile 1","Women","21-24",860,495
"977",2011,"Quintile 1","Women","25-29",520,250
"979",2011,"Quintile 1","Women","30-34",320,185
"981",2011,"Quintile 1","Women","35 and over",390,215
"983",2011,"Quintile 2","Men","17 and under",55,35
"985",2011,"Quintile 2","Men","18",1035,725
"987",2011,"Quintile 2","Men","19",335,220
"989",2011,"Quintile 2","Men","20",250,160
"991",2011,"Quintile 2","Men","21-24",580,375
"993",2011,"Quintile 2","Men","25-29",285,180
"995",2011,"Quintile 2","Men","30-34",145,90
"997",2011,"Quintile 2","Men","35 and over",195,130
"999",2011,"Quintile 2","Women","17 and under",75,40
"1001",2011,"Quintile 2","Women","18",1515,1005
"1003",2011,"Quintile 2","Women","19",520,305
"1005",2011,"Quintile 2","Women","20",385,230
"1007",2011,"Quintile 2","Women","21-24",920,555
"1009",2011,"Quintile 2","Women","25-29",455,250
"1011",2011,"Quintile 2","Women","30-34",285,155
"1013",2011,"Quintile 2","Women","35 and over",355,220
"1015",2011,"Quintile 3","Men","17 and under",75,45
"1017",2011,"Quintile 3","Men","18",1480,1075
"1019",2011,"Quintile 3","Men","19",440,290
"1021",2011,"Quintile 3","Men","20",320,190
"1023",2011,"Quintile 3","Men","21-24",675,485
"1025",2011,"Quintile 3","Men","25-29",295,170
"1027",2011,"Quintile 3","Men","30-34",130,85
"1029",2011,"Quintile 3","Men","35 and over",165,95
"1031",2011,"Quintile 3","Women","17 and under",110,60
"1033",2011,"Quintile 3","Women","18",2160,1510
"1035",2011,"Quintile 3","Women","19",655,435
"1037",2011,"Quintile 3","Women","20",430,290
"1039",2011,"Quintile 3","Women","21-24",880,580
"1041",2011,"Quintile 3","Women","25-29",435,240
"1043",2011,"Quintile 3","Women","30-34",230,135
"1045",2011,"Quintile 3","Women","35 and over",380,230
"1047",2011,"Quintile 4","Men","17 and under",110,60
"1049",2011,"Quintile 4","Men","18",2160,1605
"1051",2011,"Quintile 4","Men","19",620,445
"1053",2011,"Quintile 4","Men","20",340,215
"1055",2011,"Quintile 4","Men","21-24",760,515
"1057",2011,"Quintile 4","Men","25-29",255,140
"1059",2011,"Quintile 4","Men","30-34",105,60
"1061",2011,"Quintile 4","Men","35 and over",105,65
"1063",2011,"Quintile 4","Women","17 and under",180,90
"1065",2011,"Quintile 4","Women","18",2715,2015
"1067",2011,"Quintile 4","Women","19",815,555
"1069",2011,"Quintile 4","Women","20",470,305
"1071",2011,"Quintile 4","Women","21-24",920,590
"1073",2011,"Quintile 4","Women","25-29",330,185
"1075",2011,"Quintile 4","Women","30-34",170,90
"1077",2011,"Quintile 4","Women","35 and over",355,205
"1079",2011,"Quintile 5","Men","17 and under",115,70
"1081",2011,"Quintile 5","Men","18",3070,2360
"1083",2011,"Quintile 5","Men","19",820,610
"1085",2011,"Quintile 5","Men","20",455,300
"1087",2011,"Quintile 5","Men","21-24",785,520
"1089",2011,"Quintile 5","Men","25-29",275,155
"1091",2011,"Quintile 5","Men","30-34",90,55
"1093",2011,"Quintile 5","Men","35 and over",110,65
"1095",2011,"Quintile 5","Women","17 and under",190,105
"1097",2011,"Quintile 5","Women","18",3645,2825
"1099",2011,"Quintile 5","Women","19",970,685
"1101",2011,"Quintile 5","Women","20",490,310
"1103",2011,"Quintile 5","Women","21-24",915,560
"1105",2011,"Quintile 5","Women","25-29",345,205
"1107",2011,"Quintile 5","Women","30-34",150,85
"1109",2011,"Quintile 5","Women","35 and over",285,180
"1111",2011,"Unknown","Men","18",25,20
"1113",2011,"Unknown","Men","19",15,15
